Wallet,Winning Entries,Tokens
0x0C12738Da85168D0DB16F736F66C05cB4D4310f3,10,10
0x0d5F9bC4425eab375f5020F51DD4742205E6BBeF,1,1
0x0dc0c699F401c492f0119fB2415867babb7d9f81,1,1
0x0f977640eAe64414C7cc3B4E09D44e080C5483e9,3,3
0x10C5aD0436C2406e1739D0504d61A8BaEdc5F48d,2,2
0x147fDC9958A86E679257BF41536804Cc307675E9,2,2
0x1bd22BB269b89E491153375C99203CB39BB7830c,5,5
0x1C60dA2fbfe29B2e871C4b530F77630713718e6F,2,2
0x1e637327010deb5D6D5dC052a883750B68F47d9E,5,5
0x1Fc4BC3B9cca5A9b86C8D5f6fa592aF999561F28,11,11
0x22C5232a261473d5cF94cAa712a061C3Fdf0B821,2,2
0x23997f06B187B5C5Bdc767499A2358F4F5C5EA02,1,1
0x24803CCcFe35207cC07aFBCF5f5B041b03810D44,1,1
0x28c807746B324c859392D42fa298f61d8F793ABb,3,3
0x29f7ED66996d0899b485715CAfB95E109E81516e,1,1
0x2c17865cA470D6EBDB17cb9ca2B52fcB86e9b853,1,1
0x2cD7B91C4AeCDE994D41D956D315e647554d7112,1,1
0x2E7bf9b07A16448d956e6457cD17f9384EB10F4b,5,5
0x2fa6F3bb58Efad488E2ed93c51A0910C736a4Ac7,1,1
0x34443B2Bb7ed5FC6d866171c7986C2583Fab51D3,1,1
0x36962d6d5Cc0374EeFB0bc0a05Aadf34144B33D0,2,2
0x3C122fF8bb658D00c382D2a23B8B0A378426f0a9,1,1
0x3DA4F311FAc2305b88FaeD9d639991AfC89E478b,1,1
0x3FD986EA4767cDb9f48C14e469c1cdB9f1e56e56,2,2
0x3FE7493385EAAE7ec98DC33f77b4fBe71aeb5Edd,1,1
0x43CAa2a428175097f1B10E91e10d52C943C6859C,2,2
0x4A30fF4bB1FD247A9E2eE9faA89dB076D5037b82,8,8
0x4AcDaDc7a4DeEb0C403e323ee84869a46C05530E,1,1
0x4d5eb2f9871BB5A19865BB077918CDa56ae467d2,1,1
0x4F5985520a11B8Ab79A1Dbc6f34b8D40dD6eF69f,4,4
0x51BE862c06B45B440a6987df81f7973099b7EEBE,1,1
0x536236352627A0CD16a2Fa98660F7aD99aA7fcdb,1,1
0x5563456491dd87cCE83279816caedefd5E9f2d86,11,11
0x55fa5f773C46b21e35DBEca068431a2eEc5802fC,1,1
0x5Ab68b68757Ea098F174ece3ED70A767e3bB5b99,1,1
0x5c1D7BA69E4F73250DECC014Ad838051636c2c23,1,1
0x605decA13a61788dDE7B4aCfd32e9101DA6Fc6Fd,1,1
0x66791b6dDc1FB01782e27E2614Ae5Dd47C7773bA,13,13
0x669E57C8eFa3aD8902ffD704ca275F3177187837,1,1
0x67A6f29A59a9B898e0DDC18c169Cd13e85e37B15,2,2
0x68c4436aE48ede9Ff48f76aEad95C5d18B0B3Ab9,3,3
0x6b3613B94E93ebf6b2eF9F5EFD179C3600aD72DC,1,1
0x6Bb1dA15B40868475708b70daD9002Baaf23878D,1,1
0x6C6F3aaF00Aca2FAE0575eF011b836E27D58C57b,3,3
0x70a062e6d07c5e01400A23C1507BA7b36bAf183e,1,1
0x73835e97DE7AADd2518024b23985dd51ab05b6D5,2,2
0x7436aDb2b5166BeBC100B98d293A3cCeaf28Cd90,5,5
0x76Ba8674F08B13d6F78D74AA00c594cC9eD965D5,3,3
0x777b43699B854e3688E9B3a8cD3cDC1f419977E6,1,1
0x77C7d2e9ea6597B927A64d46308ac4d5De4655fd,1,1
0x7ad94910D0b5aD58b2808eb273dfc9631671D010,3,3
0x7d10219A8489836A9b7C962C2cb9051E3CDa0ff2,7,7
0x7f783E2cEca01651EE1146ae88915ef99A21d61F,1,1
0x7F78689a853C1fd84E322d47590Ed8232c0e6328,6,6
0x83FFE44de15601E77acF0a0dfA75D94AfE7f41AA,3,3
0x859358D5830F363Fec6B10A393C120fBCC01B580,2,2
0x8BF7aCA815e43447fA0c26C15B9866EA508199f6,1,1
0x9081E7ad50188dF1589B8b9Fb7ad0f26E3b3028A,2,2
0x95d7242abc063214bd0a733a5929239EF788A4fe,8,8
0x97711BC3ca504F07aA0f8e7cD4b8bFfDB19569c7,1,1
0x979cd16C8A263d82A265f6de80e5c1F03CcaF1D3,2,2
0x9b65F193bB44cDCDe20fd6C72A73f1c99d258B99,1,1
0x9d8Ba623b6E9E1bE7aaDAB9e9dF55Df960E1B256,1,1
0x9f56F25341C94Eb27726C45FF1B8F9bF248bC659,2,2
0xA68205dF9Ad19a03bB223D29183c313280CC68d7,1,1
0xA71d962bbdA4566C6A8Ca47D0FB86b57EB2d5F66,1,1
0xA76413C8E12973F1d569bfFe427cE8a12fC24886,1,1
0xAA93c5e06b649baad66C162A947Bf928770a47B8,1,1
0xae83e14eB67a03BCC10AE1E9a3f156d0aD7AD30c,2,2
0xAf4Ac2F4c6787e81dB915415EBa3425B39fdf163,1,1
0xB1981a76F62972A2f03e07a0B66c317737DcA189,2,2
0xB3c64a8318131802c2D77cCEb9AF7e5412196397,1,1
0xB7Ef5fb53Dc42839270a94Ca569536a7C7E7EDDe,20,20
0xB9927D48A5ef942f6728BE07b964fCBEa8F92FF7,1,1
0xBB914D4a852af354B24FF5af7D1cE8A6c16fcCE6,1,1
0xBD4048c803138bD4C37E54d2d5A7e7A06490dFdD,1,1
0xbe9d30Df4a065a5B26FFF633130Ffb1F85e0be5d,2,2
0xc2d3fdb3edf3f9aF3cc70ab666c8656142214FAa,1,1
0xc4cce9E88c8524Faf533785ff0151Fa4fF69FcDa,1,1
0xC74464cE1B8D30af96016c0e744F3C1988952a4f,1,1
0xCB7065677fc683721e2E95DCcF592c123A68d1b7,6,6
0xCB744B66c1CD4cb936047413E6C5e73a2b4A7daF,1,1
0xcbD14770cE571580e9e82b7188bF8B1E78Bacd05,1,1
0xd09374539E0802d4b0893429175BEbaD1a481162,1,1
0xd285D2719BCA1183D834CC27C9284B16529009ab,1,1
0xd4840045A3c9B267522f58E8067F240B022F22fB,2,2
0xD505670aD549629A67be2C20c12e930599345366,1,1
0xd512ee04A1fD6f8226c2ea3543601177b96a8738,2,2
0xD66d7E532Ab80b680ffA96b10dffBA025316b8B9,3,3
0xDa8bB49A6432f599b5f39DB86C0252ad0B0f02d7,1,1
0xDC1ee4924fe15141636E5ca40D089010446a2A18,2,2
0xE08232CC25479f5Fc3E9cA3F4EDbb045490ea360,1,1
0xe1C94375695b78D064205ce0A896E5bbAA373fC0,2,2
0xe645bb168A0F7588CAA331E89d88AcD22E1885C0,5,5
0xe7003386e12DD2915639A8A6a017fCE86B388D21,1,1
0xED1aC96b2D3854238591AE3524AB6b33710A2032,1,1
0xF4346E50DB01B517ABd8d68Cd2b9b6f111c711b2,1,1
0xf50Ac2425eEdc16eE2Fe37C7c3dC4a085A96Bf4A,1,1
0xF6e90deAB23632B7f3b379eF7412c77cB0bdfe9d,1,1
0xf6FdF388843ED9Eae555e65fAE38fE984eFE3312,1,1
0xFA4813E7Ff6f39F85B97255a80C689DfC3Aa5069,1,1
