Customer,Promo Cards
Customer 1,0
Customer 2,3
Customer 3,10
Customer 4,3
Customer 5,1
Customer 6,1
Customer 7,0
Customer 8,1
Customer 9,1
Customer 10,1
Customer 11,3
Customer 12,1
Customer 13,0
Customer 14,2
Customer 15,1
Customer 16,4
Customer 17,2
Customer 18,0
Customer 19,1
Customer 20,1
Customer 21,5
Customer 22,0
Customer 23,3
Customer 24,3
Customer 25,0
Customer 26,3
Customer 27,0
Customer 28,3
Customer 29,1
Customer 30,1
Customer 31,0
Customer 32,0
Customer 33,1
Customer 34,10
Customer 35,1
Customer 36,2
Customer 37,1
Customer 38,2
Customer 39,5
Customer 40,1
Customer 41,1
Customer 42,1
Customer 43,5
Customer 44,1
Customer 45,1
Customer 46,3
Customer 47,2
Customer 48,6
Customer 49,0
Customer 50,0
Customer 51,0
Customer 52,2
Customer 53,0
Customer 54,0
Customer 55,5
Customer 56,1
Customer 57,2
Customer 58,2
Customer 59,3
Customer 60,1
Customer 61,0
Customer 62,0
Customer 63,1
Customer 64,2
Customer 65,1
Customer 66,0
Customer 67,1
Customer 68,5
Customer 69,1
Customer 70,2
Customer 71,10
Customer 72,1
Customer 73,1
Customer 74,1
Customer 75,4
Customer 76,2
Customer 77,0
Customer 78,2
Customer 79,0
Customer 80,1
Customer 81,1
Customer 82,2
Customer 83,7
Customer 84,7
Customer 85,0
Customer 86,0
Customer 87,6
Customer 88,3
Customer 89,2
Customer 90,0
Customer 91,3
Customer 92,3
Customer 93,1
Customer 94,4
Customer 95,2
Customer 96,0
Customer 97,2
Customer 98,2
Customer 99,0
Customer 100,7
Customer 101,10
Customer 102,1
Customer 103,0
Customer 104,1
Customer 105,3
Customer 106,0
Customer 107,7
Customer 108,14
Customer 109,1
Customer 110,1
Customer 111,0
Customer 112,2
Customer 113,3
Customer 114,5
Customer 115,2
Customer 116,1
Customer 117,1
Customer 118,1
Customer 119,2
Customer 120,2
Customer 121,1
Customer 122,8
Customer 123,1
Customer 124,5
Customer 125,1
Customer 126,6
Customer 127,5
Customer 128,1
Customer 129,3
Customer 130,1
Customer 131,1
Customer 132,1
Customer 133,1
Customer 134,1
Customer 135,0
Customer 136,1
Customer 137,2
Customer 138,0
Customer 139,0
Customer 140,2
Customer 141,7
Customer 142,1
Customer 143,0
Customer 144,0
Customer 145,1
Customer 146,0
Customer 147,1
Customer 148,0
Customer 149,0
Customer 150,16
Customer 151,2
Customer 152,2
Customer 153,1
Customer 154,0
Customer 155,1
Customer 156,2
Customer 157,2
Customer 158,1
Customer 159,1
Customer 160,5
Customer 161,1
Customer 162,1
Customer 163,1
Customer 164,0
Customer 165,2
Customer 166,1
Customer 167,2
Customer 168,3
Customer 169,2
Customer 170,7
Customer 171,1
Customer 172,3
Customer 173,2
Customer 174,3
Customer 175,0
Customer 176,0
Customer 177,7
Customer 178,1
Customer 179,2
Customer 180,2
Customer 181,5
Customer 182,0
Customer 183,2
Customer 184,0
Customer 185,3
Customer 186,1
Customer 187,1
Customer 188,0
Customer 189,1
Customer 190,3
Customer 191,0
Customer 192,5
Customer 193,1
Customer 194,1
Customer 195,2
Customer 196,0
Customer 197,2
Customer 198,5
Customer 199,1
Customer 200,1
Customer 201,0
Customer 202,1
Customer 203,1
Customer 204,1
Customer 205,0
Customer 206,1
Customer 207,3
Customer 208,2
Customer 209,2
Customer 210,2
Customer 211,1
Customer 212,1
Customer 213,1
Customer 214,2
Customer 215,1
Customer 216,1
Customer 217,1
Customer 218,0
Customer 219,1
Customer 220,1
Customer 221,2
Customer 222,2
Customer 223,3
Customer 224,5
Customer 225,10
Customer 226,4
Customer 227,0
Customer 228,1